invoice_and_item_number,date,store_number,store_name,address,city,zip_code,store_location,county_number,county,category,category_name,vendor_number,vendor_name,item_number,item_description,pack,bottle_volume_ml,state_bottle_cost,state_bottle_retail,bottles_sold,sale_dollars,volume_sold_liters,volume_sold_gallons
INV-44086100004,1/25/2022,4504,JIFFY EXPRESS #921 / INDIANOLA,311 NORTH JEFFERSON,INDIANOLA,50125.0,,91,WARREN,1031100.0,AMERICAN VODKAS,297,LAIRD & COMPANY,35926,FIVE O'CLOCK VODKA PET,12,750,3.37,5.06,24,121.44,18,4.75
INV-52501900016,10/27/2022,6194,HY-VEE DOLLAR FRESH / NEVADA,1622 FAWCETT PARKWAY,NEVADA,50201,POINT(-93.43801 42.01266),,STORY,1031100.0,AMERICAN VODKAS,297,LAIRD & COMPANY,35926,FIVE O'CLOCK VODKA PET,12,750,3.49,5.24,24,125.76,18,4.75
INV-19740700005,5/31/2019,5285,CROSSROADS OF HUMBOLDT,411 13TH STREET,HUMBOLDT,50548,POINT(-94.181182 42.510582),46,HUMBOLDT,1031100.0,AMERICAN VODKAS,297,LAIRD & COMPANY,35926,FIVE O'CLOCK VODKA PET,12,750,3.37,5.06,24,121.44,18,4.75
INV-20890200061,7/29/2019,2561,HY-VEE FOOD STORE / FLEUR / DSM,4605 FLEUR DRIVE,DES MOINES,50321,POINT(-93.644943 41.542748),77,POLK,1031100.0,AMERICAN VODKAS,297,LAIRD & COMPANY,35926,FIVE O'CLOCK VODKA PET,12,750,3.37,5.06,24,121.44,18,4.75
INV-61381600009,8/18/2023,5149,B S MINI MART INC,"1900, SUMMER ST",BURLINGTON,52601,POINT(-91.115784995 40.788970003),,DES MOINES,1031100.0,AMERICAN VODKAS,297,LAIRD & COMPANY,35926,FIVE O'CLOCK VODKA PET,12,750,3.52,5.28,24,126.72,18,4.75
INV-61551300039,8/23/2023,3990,CORK AND BOTTLE / OSKALOOSA,309 A AVE WEST,OSKALOOSA,52577.0,POINT(-92.648202 41.296521021),,MAHASKA,1031100.0,AMERICAN VODKAS,297,LAIRD & COMPANY,35926,FIVE O'CLOCK VODKA PET,12,750,3.52,5.28,24,126.72,18,4.75
INV-13652300067,8/6/2018,2560,HY-VEE FOOD STORE / MARION,3600 BUSINESS HWY 151 EAST,MARION,52302,,57,LINN,1031100.0,AMERICAN VODKAS,297.0,LAIRD & COMPANY,35926,FIVE O'CLOCK PET VODKA,12,750,3.37,5.06,24,121.44,18,4.75
INV-54768600049,1/9/2023,4604,PIT STOP LIQUORS / NEWTON,"1324, 1ST AVE E",NEWTON,50208,POINT(-93.03601 41.69919),,JASPER,1031100.0,AMERICAN VODKAS,297,LAIRD & COMPANY,35926,FIVE O'CLOCK VODKA PET,12,750,3.49,5.24,24,125.76,18,4.75
INV-28957300005,7/24/2020,5149,B S MINI MART INC,"1900, SUMMER ST",BURLINGTON,52601.0,POINT(-91.116076 40.789013),29,DES MOINES,1031100.0,AMERICAN VODKAS,297,LAIRD & COMPANY,35926,FIVE O'CLOCK VODKA PET,12,750,3.37,5.06,24,121.44,18,4.75
INV-28957200003,7/24/2020,4752,GASLAND / BURLINGTON,1003 SUMMER ST,BURLINGTON,52655.0,,29,DES MOINES,1031100.0,AMERICAN VODKAS,297,LAIRD & COMPANY,35926,FIVE O'CLOCK VODKA PET,12,750,3.37,5.06,24,121.44,18,4.75
INV-18655600002,4/9/2019,3774,EAGLE COUNTRY MARKET / DUBUQUE,1800 ELM ST,DUBUQUE,52001,POINT(-90.665763 42.511105),31,DUBUQUE,1031100.0,AMERICAN VODKAS,55,SAZERAC NORTH AMERICA,35944,FLEISCHMANN'S ROYAL VODKA,24,375,1.74,2.61,48,125.28,18,4.75
