invoice_and_item_number,date,store_number,store_name,address,city,zip_code,store_location,county_number,county,category,category_name,vendor_number,vendor_name,item_number,item_description,pack,bottle_volume_ml,state_bottle_cost,state_bottle_retail,bottles_sold,sale_dollars,volume_sold_liters,volume_sold_gallons
INV-25217900002,2/13/2020,4795,WALGREENS #00359 / DES MOINES,2545 E EUCLID AVE,DES MOINES,50317.0,POINT(-93.568668 41.627702),77,POLK,1031100.0,AMERICAN VODKAS,434,LUXCO INC,36305,HAWKEYE VODKA PET,12,750,3.34,5.01,24,120.24,18,4.75
INV-41885900040,11/11/2021,2627,HY-VEE WINE & SPIRITS #1 / MLK,3330 MARTIN LUTHER KING JR PKWY,DES MOINES,50310.0,POINT(-93.650788 41.625924),77,POLK,1031100.0,AMERICAN VODKAS,434,LUXCO INC,36305,HAWKEYE VODKA PET,12,750,3.34,5.01,24,120.24,18,4.75
INV-23323200011,11/19/2019,5186,CASEY'S GENERAL STORE #3452 / WEST U,"102, E  BRADFORD ST",WEST UNION,52175.0,POINT(-91.807488 42.96421),33,FAYETTE,1031100.0,AMERICAN VODKAS,434.0,LUXCO INC,36305,HAWKEYE VODKA PET,12,750,3.34,5.01,24,120.24,18,4.75
INV-34542700006,2/23/2021,4938,PRONTO MARKET,201 S MAIN ST,HAZLETON,50641.0,POINT(-91.905522 42.615596),10,BUCHANAN,1031100.0,AMERICAN VODKAS,434.0,LUXCO INC,36305,HAWKEYE VODKA PET,12,750,3.34,5.01,24,120.24,18,4.75
INV-14498000001,9/18/2018,4837,KUM & GO #51 / IOWA CITY,323 E BURLINGTON ST,IOWA CITY,52240,POINT(-91.530633 41.657837),52,JOHNSON,1031100.0,AMERICAN VODKAS,434,LUXCO INC,36305,HAWKEYE VODKA,12,750,3.34,5.01,24,120.24,18,4.75
INV-48613000015,6/23/2022,5747,CASEY'S GENERAL STORE #3201 / COUNCIL BLUFFS,701 32ND AVE,COUNCIL BLUFFS,51501.0,POINT(-95.852954 41.22822),78,POTTAWATTAMIE,1031100.0,AMERICAN VODKAS,434,LUXCO INC,36305,HAWKEYE VODKA PET,12,750,3.35,5.03,24,120.24,18,4.75
INV-42285800007,11/23/2021,5582,CASEY'S GENERAL STORE #1398 / ROLAND,201 E MAPLE,ROLAND,50236.0,POINT(-93.500072 42.166381),85,STORY,1031100.0,AMERICAN VODKAS,434,LUXCO INC,36305,HAWKEYE VODKA PET,12,750,3.34,5.01,24,120.24,18,4.75
INV-35234100026,3/23/2021,2663,HY-VEE FOOD STORE / URBANDALE,8701 DOUGLAS,URBANDALE,50322.0,POINT(-93.739105 41.629364),77,POLK,1031100.0,AMERICAN VODKAS,434.0,LUXCO INC,36305,HAWKEYE VODKA PET,12,750,3.34,5.01,24,120.24,18,4.75
INV-18319600013,3/25/2019,4910,PRIME MART #3 / WATERLOO,1008 LAPORTE RD,WATERLOO,50702,POINT(-92.322988 42.47658),7,BLACK HAWK,1031100.0,AMERICAN VODKAS,434,LUXCO INC,36305,HAWKEYE VODKA,12,750,3.34,5.01,24,120.24,18,4.75
INV-18018600001,3/8/2019,5302,YESWAY STORE # 10034/ BELMOND,112 RIVER AVE S,BELMOND,50421,POINT(-93.616821 42.84535),99,WRIGHT,1031100.0,AMERICAN VODKAS,434,LUXCO INC,36305,HAWKEYE VODKA,12,750,3.34,5.01,24,120.24,18,4.75
INV-21790000001,9/9/2019,4788,WALGREENS #12580 / CEDAR RAPIDS,324 EDGEWOOD RD NW,CEDAR RAPIDS,52405,POINT(-91.715942 41.975039),57,LINN,1031100.0,AMERICAN VODKAS,434,LUXCO INC,36305,HAWKEYE VODKA,12,750,3.34,5.01,24,120.24,18,4.75
INV-28063700025,6/17/2020,3707,TARGET STORE T-1768 / CEDAR RAPIDS,1030 BLAIRS FERRY RD NE,CEDAR RAPIDS,52402.0,POINT(-91.649625 42.035157),57,LINN,1031100.0,AMERICAN VODKAS,434.0,LUXCO INC,36306,HAWKEYE VODKA,12,750,3.34,5.01,24,120.24,18,4.75
INV-28229200005,6/23/2020,5609,CASEY'S GENERAL STORE #2682 / OELWEIN,105 1ST AVE SE,OELWEIN,50662.0,POINT(-91.911999 42.676653),33,FAYETTE,1031100.0,AMERICAN VODKAS,434.0,LUXCO INC,36306,HAWKEYE VODKA,12,750,3.34,5.01,24,120.24,18,4.75
INV-23736200011,12/6/2019,4417,KUM & GO #76 / ADAIR,109 S 5TH ST,ADAIR,50002.0,POINT(-93.611475 42.017403),1,ADAIR,1031100.0,AMERICAN VODKAS,434.0,LUXCO INC,36306,HAWKEYE VODKA,12,750,3.34,5.01,24,120.24,18,4.75
INV-52697000002,11/2/2022,5761,CASEY'S GENERAL STORE #1315 / ARNOLDS PARK,357 HWY 71 S,ARNOLDS PARK,51331,POINT(-95.13854 43.36305),,DICKINSON,1031100.0,AMERICAN VODKAS,434,LUXCO INC,36306,HAWKEYE VODKA,12,750,3.35,5.03,24,120.72,18,4.75
INV-44350600033,2/2/2022,2673,HY-VEE # 6/ DES MOINES,420 COURT AVE,DES MOINES,50309.0,POINT(-93.622219 41.584896),77,POLK,1031100.0,AMERICAN VODKAS,434,LUXCO INC,36306,HAWKEYE VODKA,12,750,3.34,5.01,24,120.24,18,4.75
INV-16782700032,1/7/2019,3562,WAL-MART 0797 / W BURLINGTON,324 WEST AGENCY RD,WEST BURLINGTON,52655,POINT(-91.158407 40.813125),29,DES MOINES,1031100.0,AMERICAN VODKAS,434.0,LUXCO INC,36306,HAWKEYE VODKA,12,750,3.34,5.01,24,120.24,18,4.75
INV-40737700016,10/6/2021,3980,WAL-MART 1721 / IOWA CITY,919 HWY 1 WEST,IOWA CITY,52246.0,POINT(-91.552125 41.646646),52,JOHNSON,1031100.0,AMERICAN VODKAS,434.0,LUXCO INC,36306,HAWKEYE VODKA,12,750,3.34,5.01,24,120.24,18,4.75
INV-15191400016,10/22/2018,3811,WAL-MART 1431 / KEOKUK,300 NORTH PARK DR,KEOKUK,52632,POINT(-91.407263 40.418589),56,LEE,1031100.0,AMERICAN VODKAS,434,LUXCO INC,36306,HAWKEYE VODKA,12,750,3.34,5.01,24,120.24,18,4.75
INV-30094500022,9/9/2020,3625,WAL-MART 0892 / ANKENY,1002 SE NATIONAL DR,ANKENY,50021.0,POINT(-93.582348 41.704864),77,POLK,1031100.0,AMERICAN VODKAS,434.0,LUXCO INC,36306,HAWKEYE VODKA,12,750,3.34,5.01,24,120.24,18,4.75
INV-41635600022,11/4/2021,6147,BANI'S / CEDAR FALLS,2128 COLLEGE ST,CEDAR FALLS,50613.0,,7,BLACK HAWK,1031100.0,AMERICAN VODKAS,434,LUXCO INC,36306,HAWKEYE VODKA,12,750,3.34,5.01,24,120.24,18,4.75
INV-24634400019,1/17/2020,4605,KUM & GO #509 / MARION,1203 BLAIRS FERRY RD,MARION,52302.0,POINT(-91.624929 42.032437),57,LINN,1031100.0,AMERICAN VODKAS,434.0,LUXCO INC,36306,HAWKEYE VODKA,12,750,3.34,5.01,24,120.24,18,4.75
INV-25589700007,3/3/2020,5412,CASEY'S GENERAL STORE # 1029/ TAMA,1207 STATE STREET,TAMA,52339.0,POINT(-92.576837 41.970558),86,TAMA,1031100.0,AMERICAN VODKAS,434,LUXCO INC,36306,HAWKEYE VODKA,12,750,3.34,5.01,24,120.24,18,4.75
INV-22412100073,10/9/2019,2500,HY-VEE FOOD STORE #1 / AMES,3800 W LINCOLN WAY,AMES,50010.0,,85,STORY,1031100.0,AMERICAN VODKAS,434.0,LUXCO INC,36306,HAWKEYE VODKA,12,750,3.34,5.01,24,120.24,18,4.75
INV-35801200017,4/14/2021,3980,WAL-MART 1721 / IOWA CITY,919 HWY 1 WEST,IOWA CITY,52246.0,POINT(-91.552125 41.646646),52,JOHNSON,1031100.0,AMERICAN VODKAS,434.0,LUXCO INC,36306,HAWKEYE VODKA,12,750,3.34,5.01,24,120.24,18,4.75
INV-58783000009,5/25/2023,4738,CASEY'S GENERAL STORE #2284 / COUNCIL BLUFFS,"1030, VETERAN MEMORIAL HWY",COUNCIL BLUFFS,51501.0,POINT(-95.860249976 41.219933015),,POTTAWATTAMIE,1031100.0,AMERICAN VODKAS,434,LUXCO INC,36306,HAWKEYE VODKA,12,750,3.5,5.25,24,126,18,4.75
INV-18992100020,4/26/2019,4411,KUM & GO #95 / DE SOTO,1203 GUTHRIE ST,DE SOTO,50069,POINT(-94.012641 41.538192),25,DALLAS,1031100.0,AMERICAN VODKAS,434,LUXCO INC,36306,HAWKEYE VODKA,12,750,3.34,5.01,24,120.24,18,4.75
INV-20177600008,6/24/2019,4541,CASEY'S GENERAL STORE #1045 / DELMAR,502 MARKET,DELMAR,52037,POINT(-90.606669 42.003648),23,CLINTON,1031100.0,AMERICAN VODKAS,434,LUXCO INC,36306,HAWKEYE VODKA,12,750,3.34,5.01,24,120.24,18,4.75
INV-29366600025,8/10/2020,4585,CASEY'S GENERAL STORE #2561 / FARLEY,"306, 1ST ST SW",FARLEY,52046.0,POINT(-91.006139 42.439552),31,DUBUQUE,1031100.0,AMERICAN VODKAS,434,LUXCO INC,36306,HAWKEYE VODKA,12,750,3.34,5.01,24,120.24,18,4.75
INV-15941400011,11/28/2018,5502,CASEY'S GENERAL STORE #3566 / PELLA,509 MAIN ST,PELLA,50219,POINT(-92.916517 41.403486),63,MARION,1031100.0,AMERICAN VODKAS,434,LUXCO INC,36306,HAWKEYE VODKA,12,750,3.34,5.01,24,120.24,18,4.75
INV-44920000019,2/21/2022,5094,CASEY'S GENERAL STORE #2778 / CEDAR,"201, 8TH AVE SE",CEDAR RAPIDS,52401.0,POINT(-91.662347 41.973004),57,LINN,1031100.0,AMERICAN VODKAS,434,LUXCO INC,36306,HAWKEYE VODKA,12,750,3.34,5.01,24,120.24,18,4.75
INV-23429400005,11/23/2019,5394,CASEY'S GENERAL STORE #2183/DECORAH,1807 OLD STAGE RD.,DECORAH,52101.0,POINT(-91.754302 43.289229),96,WINNESHIEK,1031100.0,AMERICAN VODKAS,434.0,LUXCO INC,36306,HAWKEYE VODKA,12,750,3.34,5.01,24,120.24,18,4.75
INV-37825300004,6/25/2021,5269,LEFTY'S CONVENIENCE STORE INC,"105, MAIN ST",ALBURNETT,52202.0,POINT(-91.618537 42.148),57,LINN,1031100.0,AMERICAN VODKAS,434,LUXCO INC,36306,HAWKEYE VODKA,12,750,3.34,5.01,24,120.24,18,4.75
INV-13820300032,8/14/2018,3618,WAL-MART 2716 / CEDAR RAPIDS,3601 29TH AVE SW,CEDAR RAPIDS,52404,POINT(-91.718042 41.949215),57,LINN,1031100.0,AMERICAN VODKAS,434.0,LUXCO INC,36306,HAWKEYE VODKA,12,750,3.34,5.01,24,120.24,18,4.75
INV-40750800003,10/6/2021,5398,CASEY'S GENERAL STORE # 2272/COLFAX,1203 N WALNUT,COLFAX,50054,,50,JASPER,1031100.0,AMERICAN VODKAS,434,LUXCO INC,36306,HAWKEYE VODKA,12,750,3.34,5.01,24,120.24,18,4.75
INV-37017600006,5/28/2021,4641,KUM & GO #573 / SE 14TH DM,5830 SE 14TH ST,DES MOINES,50315.0,,77,POLK,1031100.0,AMERICAN VODKAS,434.0,LUXCO INC,36306,HAWKEYE VODKA,12,750,3.34,5.01,24,120.24,18,4.75
INV-14003200002,8/22/2018,4554,KUM & GO #229 / SIOUX CITY,1821 HAMILTON BLVD,SIOUX CITY,51103,POINT(-96.416824 42.510269),97,WOODBURY,1031100.0,AMERICAN VODKAS,434.0,LUXCO INC,36306,HAWKEYE VODKA,12,750,3.34,5.01,24,120.24,18,4.75
INV-50745000008,8/29/2022,4852,KUM & GO #520 / CEDAR RAPIDS,2604 16TH AVE,CEDAR RAPIDS,52404,POINT(-91.707061 41.963067),,LINN,1031100.0,AMERICAN VODKAS,434,LUXCO INC,36306,HAWKEYE VODKA,12,750,3.35,5.03,24,120.72,18,4.75
INV-29450600010,8/13/2020,4428,KUM & GO #200 / AMES,4510 MORTENSEN RD,AMES,50014.0,POINT(-93.679803 42.01214),85,STORY,1031100.0,AMERICAN VODKAS,434,LUXCO INC,36306,HAWKEYE VODKA,12,750,3.34,5.01,24,120.24,18,4.75
INV-48981200009,7/7/2022,5146,FAREWAY STORES #153  /  W DES MOINES,329 GRAND AVE,WEST DES MOINES,50265,POINT(-93.706897 41.58269),77,POLK,1032200.0,IMPORTED FLAVORED VODKA,115,CONSTELLATION BRANDS INC,36576,SVEDKA BLUE RASPBERRY,12,750,8,12,24,288,18,4.75
INV-38355800058,7/15/2021,4829,CENTRAL CITY 2,1501 MICHIGAN AVE,DES MOINES,50314.0,POINT(-93.613739 41.60572),77,POLK,1031200.0,AMERICAN FLAVORED VODKA,259.0,HEAVEN HILL BRANDS,36606,DEEP EDDY ORANGE,12,750,8.5,12.75,24,306,18,4.75
INV-39323900066,8/18/2021,2501,HY-VEE  #2 / AMES,640 LINCOLNWAY,AMES,50010.0,,85,STORY,1031200.0,AMERICAN FLAVORED VODKA,205.0,E & J GALLO WINERY,36618,NEW AMSTERDAM RASPBERRY,12,750,7.5,11.25,24,270,18,4.75
INV-56372500056,3/6/2023,2670,HY-VEE FOOD STORE / CORALVILLE,2004 8TH  ST,CORALVILLE,52241,POINT(-91.592 41.68238),,JOHNSON,1031200.0,AMERICAN FLAVORED VODKA,205,E & J GALLO WINERY,36618,NEW AMSTERDAM RASPBERRY,12,750,8,12,24,288,18,4.75
INV-28228200031,6/23/2020,4019,WAL-MART 1506 / MANCHESTER,1220 WEST MAIN,MANCHESTER,52057.0,,28,DELAWARE,1031100.0,AMERICAN VODKAS,55.0,SAZERAC NORTH AMERICA,36648,CALIBER VODKA,12,750,3.31,4.97,24,119.28,18,4.75
INV-20096900022,6/19/2019,3726,WAL-MART 1285 / OTTUMWA,1940 VENTURE DR,OTTUMWA,52501,POINT(-92.456896 41.01455),90,WAPELLO,1031100.0,AMERICAN VODKAS,55,SAZERAC NORTH AMERICA,36648,CALIBER VODKA,12,750,3.31,4.97,24,119.28,18,4.75
INV-24349400034,1/3/2020,5077,WAL-MART 3150 / COUNCIL BLUFFS,1800 N 16TH ST,COUNCIL BLUFFS,51501.0,POINT(-95.867459 41.27737),78,POTTAWATTAMIE,1031100.0,AMERICAN VODKAS,55.0,SAZERAC NORTH AMERICA,36648,CALIBER VODKA,12,750,3.31,4.97,24,119.28,18,4.75
INV-18620400044,4/8/2019,3663,WAL-MART 1496 / WATERLOO,1334 FLAMMANG DR,WATERLOO,50702,POINT(-92.330801 42.460238),7,BLACK HAWK,1031100.0,AMERICAN VODKAS,55,SAZERAC NORTH AMERICA,36648,CALIBER VODKA,12,750,3.31,4.97,24,119.28,18,4.75
INV-17746100023,2/25/2019,3663,WAL-MART 1496 / WATERLOO,1334 FLAMMANG DR,WATERLOO,50702,POINT(-92.330801 42.460238),7,BLACK HAWK,1031100.0,AMERICAN VODKAS,55.0,SAZERAC NORTH AMERICA,36648,CALIBER VODKA,12,750,3.31,4.97,24,119.28,18,4.75
INV-16149600088,12/6/2018,3899,WAL-MART 3762 / WDM,6365 STAGECOACH DR,WEST DES MOINES,50266,POINT(-93.795512 41.558107),77,POLK,1031100.0,AMERICAN VODKAS,55,SAZERAC NORTH AMERICA,36648,CALIBER VODKA,12,750,3.31,4.97,24,119.28,18,4.75
INV-22532700009,10/15/2019,2666,HY-VEE FOOD STORE #2 / STATE ANKENY,2510 SW STATE ST,ANKENY,50023.0,POINT(-93.621824 41.705188),77,POLK,1032200.0,IMPORTED FLAVORED VODKA,370.0,PERNOD RICARD USA,36769,ABSOLUT GRAPEFRUIT,12,750,9.99,14.99,24,413.76,18,4.75
INV-16379000002,12/18/2018,2536,HY-VEE / PLEASANT HILL,4815 MAPLE DRIVE,PLEASANT HILL,50317,POINT(-93.519187 41.598109),77,POLK,1032200.0,IMPORTED FLAVORED VODKA,370.0,PERNOD RICARD USA,36769,ABSOLUT GRAPEFRUIT,12,750,11.49,17.24,24,413.76,18,4.75
INV-57671000028,4/19/2023,2532,HY-VEE FOOD STORE #2 (1138) / DES MOINES,2540 E EUCLID,DES MOINES,50317.0,POINT(-93.569823016 41.6287170080001),,POLK,1031100.0,AMERICAN VODKAS,777,"BLUE OX SPIRITS, INC.",36873,BLUE OX VODKA,12,750,3.66,5.49,24,131.76,18,4.75
